,Review,Calification
0,"Metan fundamentos con ella sin pensarlo. Si no les interesa la Contabilidad van a pasar fácil, y si les gusta un poco más van a dejar la nota muy alta. La profe siempre resuelve todas sus dudas respondiendo amablemente. Y la metodología que aplica a los parciales hace que no sean difíciles.",5.0
1,"El profesor es buenísimo, es el mejor en su materia. Es muy amable. Cuando no presentan cosas deja que las entreguen después. La clase es muy amena ",5.0
2,"La materia es muy buena, y muy interesante, el profesor a veces es raro para explicar. 
Se trata de unas lecturas y su respectivo resumen y en la parte final del semestre se aprende a negociar de verdad.
Muy util para la vida.",4.0
3,"La clase es muy buena, contrario a lo que se pensaría, no se centra en el ámbito empresarial. El docente deja los conceptos realmente claros y las actividades son interesantes. ",5.0
4,"Metan fundamentos con ella sin pensarlo. Si no les interesa la Contabilidad van a pasar fácil, y si les gusta un poco más van a dejar la nota muy alta. La profe siempre resuelve todas sus dudas respondiendo amablemente. Y la metodología que aplica a los parciales hace que no sean difíciles.",5.0
5,"El profesor es buenísimo, es el mejor en su materia. Es muy amable. Cuando no presentan cosas deja que las entreguen después. La clase es muy amena ",5.0
6,"La materia es muy buena, y muy interesante, el profesor a veces es raro para explicar. 
Se trata de unas lecturas y su respectivo resumen y en la parte final del semestre se aprende a negociar de verdad.
Muy util para la vida.",4.0
7,"La clase es muy buena, contrario a lo que se pensaría, no se centra en el ámbito empresarial. El docente deja los conceptos realmente claros y las actividades son interesantes. ",5.0
8,"Metan fundamentos con ella sin pensarlo. Si no les interesa la Contabilidad van a pasar fácil, y si les gusta un poco más van a dejar la nota muy alta. La profe siempre resuelve todas sus dudas respondiendo amablemente. Y la metodología que aplica a los parciales hace que no sean difíciles.",5.0
9,"El profesor es buenísimo, es el mejor en su materia. Es muy amable. Cuando no presentan cosas deja que las entreguen después. La clase es muy amena ",5.0
10,"La materia es muy buena, y muy interesante, el profesor a veces es raro para explicar. 
Se trata de unas lecturas y su respectivo resumen y en la parte final del semestre se aprende a negociar de verdad.
Muy util para la vida.",4.0
11,"La clase es muy buena, contrario a lo que se pensaría, no se centra en el ámbito empresarial. El docente deja los conceptos realmente claros y las actividades son interesantes. ",5.0
12,"Metan fundamentos con ella sin pensarlo. Si no les interesa la Contabilidad van a pasar fácil, y si les gusta un poco más van a dejar la nota muy alta. La profe siempre resuelve todas sus dudas respondiendo amablemente. Y la metodología que aplica a los parciales hace que no sean difíciles.",5.0
13,"El profesor es buenísimo, es el mejor en su materia. Es muy amable. Cuando no presentan cosas deja que las entreguen después. La clase es muy amena ",5.0
14,"La materia es muy buena, y muy interesante, el profesor a veces es raro para explicar. 
Se trata de unas lecturas y su respectivo resumen y en la parte final del semestre se aprende a negociar de verdad.
Muy util para la vida.",4.0
15,"La clase es muy buena, contrario a lo que se pensaría, no se centra en el ámbito empresarial. El docente deja los conceptos realmente claros y las actividades son interesantes. ",5.0
16,"Metan fundamentos con ella sin pensarlo. Si no les interesa la Contabilidad van a pasar fácil, y si les gusta un poco más van a dejar la nota muy alta. La profe siempre resuelve todas sus dudas respondiendo amablemente. Y la metodología que aplica a los parciales hace que no sean difíciles.",5.0
17,"El profesor es buenísimo, es el mejor en su materia. Es muy amable. Cuando no presentan cosas deja que las entreguen después. La clase es muy amena ",5.0
18,"La materia es muy buena, y muy interesante, el profesor a veces es raro para explicar. 
Se trata de unas lecturas y su respectivo resumen y en la parte final del semestre se aprende a negociar de verdad.
Muy util para la vida.",4.0
19,"La clase es muy buena, contrario a lo que se pensaría, no se centra en el ámbito empresarial. El docente deja los conceptos realmente claros y las actividades son interesantes. ",5.0
20,"Excelente profesora, se aprende un montón y la clase es muy entretenida y usa muchos ejemplos parahacer mas comprensibles los temas.: Entretenido: Parciales un poco complejos",5.0
21,"Excelente docente, muy recomendada para ver derecho laboral.: Explica los temas con paciencia y con muchos ejemplos.
Los parciales son sencillos y corresponden a lo visto en clase.
Se abarcan todos los temas del programa.
Es muy atenta respondiendo dudas",5.0
22,"En el area de mercados es la mejor profesora que tiene la facultad.
Se entiende todo lo que explica, las clases son entretenidas e interactivas, usa muchos ejemplos y los temas se interiorizan. 
Su metodología es sencilla.",5.0
23,": Facil
Entretenido
Temas interesantes: Hermético 
A veces la unica respuesta correcta, es la que el quiere.",4.0
24,"Es un muy buen profesor, muy didáctico, y hace a los estudiantes muy participes en sus clases",5.0
25,"Excelente profesor, muy buena dinámica en clases, muy dinámico, propone actividades extracurriculares y explica muy bien todos los temas y conceptos. : Exonera del examen final ",5.0
26,"Execelente profesor. Clases y evaluaciones dinamicas, divertidas y creativas. Sabe de motivacion y incentivos, como un buen lider. No significa que es facil. : Todo en el comentario: a veces hace unos chistes machistas",5.0
27,"...: El 100% de la materia consiste en la presentación de talleres individuales y grupales
Hace las clases amenas y trata de explicar con claridad los temas
La materia es extremadamente fácil de aprobar.: Siempre llega 30-40 minutos tarde.
Se desconoce la retroalimentación de los talleres.
Son muy pocos talleres por semestre, así que la nota de la materia es muy volátil.
Falta mucho a clase
El programa del curso no se termina pues su ausentismo le impide dictar los temas en su totalidad",3.0
28,"No es facil entenderle, va muy rapido y no va a la par con las lecturas que deja, de hecho no explica casa nada de las lecturas. Lo bueno es que los parciales deja que se pueda hablar entre compañeros y sacar cuaderno, los talleres son un poco dificiles. : Se puede dejar alta: No se aprende mucho ",3.6
29,"Excelente profesor, se aprende muchísimo y tiene mucha paciencia para explicar. Todo lo ejemplifica y es muy justo con las notas. Hay que hacer 3 parciales, talleres y un trabajo final.
Todos los exámenes que hace deja sacar todo, lecturas, computadores y celulares, evalua es que usted sepa hacer un análisis financiero.",5.0
30,"Es una profesora excelente, y si tu vas a todas las clases y prestas atención se puede dejar muy alta, hace tres parciales de selección múltiple mayormente, algunos de casos, y hace talleres en clase.: La profesora explica muy bien, vale completamente la pena para ser una clase que cuando la vi era un sábado se iba con agrado ",5.0
31,"Es una profesora excelente, y si tu vas a todas las clases y prestas atención se puede dejar muy alta, hace tres parciales de selección múltiple mayormente, algunos de casos, y hace talleres en clase.: La profesora explica muy bien, vale completamente la pena para ser una clase que cuando la vi era un sábado se iba con agrado ",5.0
32,"Es una profesora excelente, y si tu vas a todas las clases y prestas atención se puede dejar muy alta, hace tres parciales de selección múltiple mayormente, algunos de casos, y hace talleres en clase.: La profesora explica muy bien, vale completamente la pena para ser una clase que cuando la vi era un sábado se iba con agrado ",5.0
33,"Las clases son tremendamente aburridas, cuando yo la ví, todo el tiempo dicto las clases leyendo un libro literalmente, como si no las tuviera preparadas. Supongo que eventualmente el profesor sabe del tema dado que es muy respetado en la facultad, pero no me gustó la clase por eso.
Al principio de las clases siempre se debe hablar de los comentari...Leer más...",3.0
34,"Metan fundamentos con ella sin pensarlo. Si no les interesa la Contabilidad van a pasar fácil, y si les gusta un poco más van a dejar la nota muy alta. La profe siempre resuelve todas sus dudas respondiendo amablemente. Y la metodología que aplica a los parciales hace que no sean difíciles.",5.0
35,"Buena profesora, domina los temas su materia: Se esmera por hacer su clase dinámica.
La materia se puede aprobar con una nota muy alta.
Se puede aprender bastante de ella y de las lecturas que asigna en la clase: Se frustra con facilidad cuando los estudiantes no participan.",4.0
36,": Materia fácil de aprobar y conseguir una nota muy alta.
Los parciales son planteados con base en los talleres que se realizan durante el transcurso del semestre.: El docente faltó mucho a clase, la mayoría de los temas se vieron mediante el texto guía. ",3.2
37,"El profesor tiene mucho conocimiento sobre lo que expone, lo que hace que la clase sea amena. Lo negativo es que no entrega notas sino hasta el final del curso y que a veces no le alcanza el tiempo para todos los temas del curso",4.0
38,"Las clases son dinámicas, tiene un gran conocimiento especialmente en marketing, se preocupa porque el estudiante sepa aplicar los conceptos de la clase.: Si realiza todos los trabajos como mapas conceptuales, así no los evalúe periódicamente, al final puede ayudarle con la nota  ",4.4
39,"Gran profesor, tiene un excelente conocimiento de los temas. Especialmente los relacionados con marketing.",4.6
40,"Es muy buen profesor, pero a veces tiene una actitud extraña, se cumple a cabalidad con los temas y se aprende un montón.: Aprendizaje: Actitud",4.0
41,"Si de verdad se quiere aprender, con Jair debes meter.",4.0
42,"No tiene un ""ego gigante"", más bien es consciente de lo que sabe y su valor como profesional, algo de lo cual deberíamos aprenderle; por el contrario se preocupa mucho por ayudar a los estudiantes (no en su materia, sino a nivel general) a solucionar sus inconvenientes, especialmente los que tengan que ver con la parte administrativa.

Es un profes...Leer más...",4.5
43,"Jair es un buen profesor con el cual vi mercados 1, el profe sabe muchísimo de marketing y tiene una experiencia ""amplisima"" que no parara de recordares en cada clase. Explica los temas muy bien y tal ves es uno de los conocedores mas jovenes de los temas de la clase. Todo lo explica con ejemplos de la vida y de sus experiencias y la mayor parte de...Leer más...: Si participas en clase muy seguramente obtendras buena nota: No da nunca una retroalimentación 
Tiene un ego mas grande que cualquiera
Las notas del semestre o resúmenes no importaran, solo importan los quizes de 1 minuto y el análisis del sector",2.9
44,Muy buena clase. Le abre a uno la mente especialmente con las historias que cuenta sobre los grupos economicos del país. Vale la pena leer el material del curso,5.0
